ulasan,label
"Ya namanya belanja sering pas! Pas bener ya bener, dari puluhan kali belanja 1,2 atau 3 kali pernah kecewa, lanjut tindak lanjuti penjual nakal agar sopie semakin dipercaya dan kehawatiran pembeli semakin gak ada Nex semakin banyak masyarakat yg menggunakan aplikasi Shopie🙏🙏🙏🙏",5
"Sangat sulit untuk memilih opsi menggunakan jasa pengiriman ( kurir ). Saya selalu diarahkan pake jnt. Dan jnt sangat buruk kinerjanya. Mohon aplikasi Shopee diperbaiki supaya mudah & bebas memilih jasa kurir. Saya mohon segera permudah opsi pemilihan kurir, seperti aplikasi hijau yg praktis & mudah.",1
"Semakin kesini app shopee semakin buruk, Tidak bisa nonton shopee live & shopee video. Sering macet juga, ketika sudah melakukan pencarian barang lebih dari 2 menit, macet lagi dan lagi. Tolong donk programmernya diperbaiki appnya, Sekelas shopee yg uda go internasional masak appnya buruk sekali, buat yang lebih ringan agar mudah diakses dan nggak berat di semua handphone",1
"Hutang cuma 100rb, tapi sudah di bayar, tapi paylater masih di bekukan sampe hampir mau 2 tahun, dasar deh Setiap di tanya ke CS nanti tunggu aja ka, 2 minggu lagi bakalan aktif lagi kok,eh ini hampir 2 tahun akun paylater masih di bekukan, dan dampaknya ke semua aplikasi lain, nama saya jadi jelek, gara2 hutang cuma 100 ribu, itu juga telat bayar,bukan ga di bayar . Kebijakan yg sangat buruk",1
"Sangat Kecewa Banget, ""informasi pengiriman"" tidak bisa diubah. Seakan-akan pemaksaan yaitu harus ekspedisi pengiriman melalui ""SPX Standard"", jadi tidak bisa diubah. Bintang 1 ini artinya untuk menilai betapa lemot, lalai dan lama banget barang pesanan sampai tujuan dgn menggunakan SPX Standard. ⭐",1
"Paket gw ga jelas kemana rimba nya. Pake ekspedisi SPX, keterangan udh dibawa kurir, kurir yg mana ga jelas. Bikinlah aplikasi khusus buat ekspedisi SPX. Setidaknya UI nya mirip-mirip sm jnt, biar gampang pick up, tracking, smp kontak kurir yg antar paket. Mau jd e-comerce nomor 1 di Indonesia mah jgn nanggung-nanggung, min.",3
"Kondisi internet wifi/data seluler sangat sangat sangat baik, memori tidak penuh tapi entah kenapa aplikasi shopee sangat ngelag... saya buka apk toko online sebelah tidak apa apa. LALUUU... saat ada voucher 5 menit, saya sudah stay 5 menit sebelum mulai, saat di refresh malah layar area voucher putih setelah selesai loading dan malah baru muncul setelah waktu habis🤨😭🤯 mohon untuk perbaikan lag dan masalah yg saya alami kedua itu. Banyak pengguna yg mengeluh karna lag/lemot pada shopee..😪😪",1
Jujur saya dulu gak suka belanja dishopee apalagi banyak iklan juga dimana mana.. Ternyata perkiraan selama ini salah.ternyata lebih nyaman di shopee daripada apk sebelah.lebih lengkap semuanya di shopee dan saya sangat puas belanja di shopee apalagi belanja part otomotif sangat memuaskan Terimakasih SHOPEE,5
"Aplikasi banyak ngebug'nya, kadang layarnya putih doang, kadang item doang, kadang enggak bisa di klik sama sekali, mana lama banget, yang tadinya lagi asik milih barang pas mau liat malah ngebug, bukannya happy malah emosi!!",2
"Teman saya mengonfirmasi kalau dia membeli 3 jenis barang dari link affiliate yang saya bagikan,dia juga ada buktinya. Tapi setelah saya cek cuman 1 yang komisinya masuk. Aneh yah shopee ini. Edit, nggak ada satupun jawaban mu yg termasuk. Semuanya pesanannya valid dan resmi. Kalau gak bener mah gak bener aja.",1
Aplikasi belanja yang berat suka ngelag padahal ram handphone saya 8gb. Buka aplikasi lain lancar. Pas buka Shopee kelamaan liat liat suka ngelag aplikasi nya susah di kembaliin nya. Trus pengiriman juga makin lama. Pelanggan itu pengen pengiriman yang cpet. Ngapain ada garansi pengiriman fungsi nya apa kalo bikin lama.,1
"Parah. Nyimpan video di draft malah gak bisa dibuka, edit, posting atau hapus. Tiap di klik muncul keterangan ""dalam posting"". Tanya CS katanya suruh clear cache. Dah dilakuin bahkan dah update aplikasi masih saja error gak hilang. Katanya diminta rekam pakai aplikasi langsung. Tapi kalau error gini buang waktu tenaga dong.",1
"Setelah di perbarui malah sering ngelag. Buka aplikasi bukannya beranda yang pertama x muncul tapi mlh video live. Kadang udah klik beranda eh suara video masih ada aja. Klo mau liat video/foto review dari orang juga susah banget ga langsung kebuka sampe lama,pampilannya jadi aneh. Buruklah tampilan setelah diperbaharui,mending balikin kaya dulu lagi aja.",2
"Aplikasi nya sdh bagus hanya kalau pakai wifi dan tidak pernah erooor lagi. Tapi kalau pakai paket internet HP lemotnya poll. Sepertinya aplikasi ini masih perlu diperbaiki dan lebih diringankan lagi. Saya sdh lama dan dari awal jadi member Shopee, mau memberi masukan tapi sulitnya minta ampun di CS nya yg selalu masuk ke mesin penjawqb",5
"Bug parah aplikasi close sendiri, udah coba clear cache, logout login masih saja bug tidak berfungsi. Sudah update versi terbaru juga masih bug. Tolong diperbaiki aplikasinya. Yang mengalami bukan saya sendiri saja, banyak pengguna lain juga yang kenah bug.",1
"Aplikasi terbaru ada pengembalian barang, pilih alasan (rusak) tp tidak bisa di konfirmasi yang bisa hanya alasan yg tidak dengan yg terjadi pada pesanan saya. Tolong jangan merugikan pembeli. Kalo saya pilih alasan laen ya pasti di tolak untuk pengembalian barang. Jelas² pas unboxing ke adaang barang rusak. Minta solusi ke pada admin shopee, kalo gak bisa di balikin dengan memilih alasan barang ( rusak) ya mending di buat seperti dulu aja gak ribet.",1
"Diperbaharui malah jelek, masuk aplikasi langsung disambut live dan nggk bisa di off kan walaupun klik menu lain. Dan pas di exit juga masih terdengan suara live nya sampai aplikasi harus dikeluarkan dari latar belakang. Tolong diperbaiki..!!",1
"Untuk menu lacak waktu pengantaran tolong diupgrade. Di aplikasi paket menuju alamat tapi ditunggu dari pagi sampai sore gak ada, liat di maps uda dekat kirain paling lama sejam ternyata bisa 10 jam. Kadang kita uda keluar buat aktifitas lain, baru tu tiba-tiba malam paketnya sampai alamat.",4
"Aplikasi bagus, cuma pelayanan dan pengiriman spx si, masa status dari kemarin gak berubah, tinggal sedikit lagi sampai malah stack di gudang, mana itu gudang dekat sama tujuan. Memang ada garansi, tapi barang mau segera digunakan trus apa gunanya voucher 10.000? Bagi sebagian orang mungkin suka, tapi bagi saya pribadi itu tidak penting, karena harusnya ketika mendesak cs bisa mengupayakan menghubungi expedisi untuk segera memprosesnya. Kok malah lebih baik LEX ID, gak kompeten banget kecewalah",1
Salah satu aplikasi belanja yang bagus dan sering ngasih promo dari segi pengiriman barang cukup cepat karena memiliki kurir sendiri. Kelebihan lain Shopee memiliki fitur penunjang belanja seperti paylater dan COD untuk mempermudah proses pembayaran (kalau penggunaannya bener kalau nggak ya malah menyusahkan). kekurangannya mungkin cukup berat dari segi spek khususnya untuk HP kentang dan HP tua.,4
"bagus, membantu, tp lemot bgt performa dr aplikasinya, terlalu banyak fitur tp performa aplikasi ga di upgrade alhasil lemot. contoh kecil, pas buka keranjang trs mau ceklis barang untuk ke step checkout itu bener"" lama banget respon dr ceklisnya muncul. Udah berapa kali hapus cache, update apk, dan hp pun udh spek high. Tolong buat developer nya di upgrade performa dr aplikasi ini.",2
"Saya suka dengan aplikasi shopee, kita dapat berbelanja dengan mudah, namun sering banget kalo make wifi dia ga bisa dibuka,""sedang membuat halaman baru""kenapa gitu mulu ya, jdi org² yang pasang wifi dirumah kesulitan banget,tapi wktu make data seluler dia lancar banget,kenapa gitu ya?, mohon agar dapat diperbaiki ya trmksh",3
"Aplikasi terlalu berat, sering macet saat dibuka dengan device prosesor Snapdragon 685, kupikir BUG, saya coba buka di device lain yang prosesornya Snapdragon 870 barulah lancar. Aplikasinya berat sekali cuy, hp kentang sampe panas kek mau mledak.",2
"Terlalu berteletele, ribet, dan sering diminta mengirimkan file yang sama untuk memimta aktivasi kembali akun yang sempat di blokir (karena HP hilang). Lelet, permasalahan tidak selesai +- sudah 20 hari. Semoga kedepannya lebih baik dalam pelayanan",1
"Ekspedisi dari Shopee (SPX) kacau, udh nyampenya lama, barang hilang, mana kadang diretur sama kurir tanpa konfirmasi. Daftar alamat kantor ekspedisi di google banyak banget, tapi pas didatengin kantornya kayak siluman. Ngasih fasilitas ekspedisi gak abal-abal gitu juga kali.",1
"Performa jelek tidak seperti kompetitornya, sering sekali terjadi delay pada aplikasi sehingga sangat menggangu ketika ingin mencari produk, serta memuat gambar membutuhkan waktu yang sangat lama padahal internet yang saya pakai sedang lancar, menjalankan aplikasi serasa menjalankan website, lambat sekali",1
"Sekarang ini mengapa kalo buka aplikasi shopee kok langsung masuk ke live, bukan ke beranda. Bagaimana settingannya agar bisa seperti dulu, masuk langsung ke beranda aja. Ini serasa buka tiktok aja. terlalu ramai, Kurang nyaman.",1
"Saya ga ngerti kenapa Shopee membuat byk sekali fitur yg ga penting, semakin byk sistem semakin sering ngelag. Belum lagi punya shopeefood tapi ga di update kualitasnya masih kurang byk driver maupun mitra kerjanya. Cukup mengecewakan saya sudah pesan makanan dari sebelum rush hour dan 4 kali dibatalkan sistem karena tidak ada driver, ini yg mau makan udh keburu Aslam duluan. Lain kali sebelum menambah fitur yg lain tolong tingkatkan kualitasnya terlebih dahulu.",1
"kenapa setelah update malah semakin lag dan banyak bug? padahal jaringan bagus dan setelah saya refresh pun tidak berubah, mohon untuk segera di perbaiki masalah loading yang dapat menghambat saya dalam berbelanja dan melakukan transaksi, semoga secepatnya shopee akan lebih lancar dan mengurangi bug, jika sudah diperbaiki saya akan mengubah ulasan ini✨️terimakasih developer✨️",2
"Very goods. Catatan: jika banyak penilaian jelek terhadap sebuah toko, sebaiknya toko tersebut diberi peringatan. Jika masih membandel maka diblokir aja. Plus agar ducantumkan nomor WA kurir yang membawa pesanan, agar mudah komunikasi, krn banyak pelanggan yang serimg tidak ditempat saat kurir datang.",5
"Diawal2 punya Spaylater bayar pulsa pke Spaylater bisa, sekarang jadi gak bisa, padahal udah di chat CS shopee, bilangnya sudah dalam penangganan tim, tapi kenyataan nya masih gitu2 aja gak dibenerin. Gimna sih ini shopee, gak puas bngt sama penangganan nya.",1
Shoppe kenapa sih kalo buka aplikasi lain pasti dikit-dikit iklan shoppe..tolong dong di perbaiki lagi...soalnya ganggu banget..kalo ada kelas pasti iklan shoppe..padahal ga buka shopee...udah sihh itu aja tapi lain kali di perbaiki lagi yaa..makasih,2
"pengiriman sangat lama, di apain dulu dah, di banting""??,, perasaan udah pake shopee pay ternyata masih sama aja pengiriman nya, kirain lebih cepat, kecewa sih seminggu pun belom sampai, di iming"" in garansi kirim, biar diem ga rewel pengiriman lemot, padahal juga ga guna, cuma voucher, di kira setiap hari beli di shopee apa, toko online yang lain gada iming"" garansi pengiriman 3-4 hari sampe itu pun udah diskon pengiriman, dah lah percuma gabakal di notice, bikin aja 2 Minggu pasti sampai.",1
"Saya kecewa dan kesal banget kurir shoppe nya tidak bertanggung jawab harusnya paket sesuai estimasi ini malah melebihi estimasi nya , paket dibalikan ke lokasi transit dengan alasan alamat rumah saya tidak lengkap!! Jelas jelas setiap saya pesen apapun dan lewat apapun selalu sampe alamat tidak pernah saya rubah!! Tetapi Kurir dengan alesan alamat tidak lengkap!! tidak bertanggung jawab banget",1
"JELEK BGT SEKARANG! 2 kali saya buat pesanan 2 kali juga pesanan saya ga pernah nyampe alamat saya! Tiba-tiba main retur aja ga jelas banget sih, apa lagi ekspedisi nya, ngapain sih pake Shopee ekspres segala, nyatanya pengiriman nya ga secepat klaim terlalu banyak koar. Benci saya!",1
"cek status pengiriman sering error, kadang tidak sesuai yg dijadwalkan, lokasi paket kadang sudah dekat rumah padahal paket masih di DC Cakung atau masih di penjual, tolong di perbaiki entah itu sistem dari pihak shopee atau logistik spx nya, jangan dikasih pelacakan paket yg lokasinya random. Trim's",3
"Hari ini ada spesial 5.5,jadi ada beberapa hp yang harganya 5000,tapi per hp stok nya 5 doang.Nah setiap hp ada waktunya,tadi malam gw sengaja gak tidur sampe jam 12 malam demi iphone 15 pro,pas sudah waktunya gw langsung gercep pesan,pas mau beli tombol nya malah warna abu² (gk bisa dipencet).Gw tunggu beberapa saat hp nya habis.Agak kecewa,besok ny gw lanjut jam 12 siang hp iPhone 14,pas sudah waktunya shopee ny malah ngelag, padahal jaringan gw bagus.Mohon shopee kalau kasih diskon yg benar!",3
"Fitur Toko saya di shopee untuk update barangnya ga jelas, padahal barang sudah di kosongin tp masih aja ada yg order barang yg udah habis, ujung2nya kami seller jg yg kena marah sama customer. Tolong di perbaiki, krn ini kesalahan system dari pihak aplikator.",5
"Kalo bisa tanpa bintang, saya kasih bintang 0, aplikasi yang pengiriman nya ga di nomor satukan, udah 1 Minggu paket gua ga datang datang, estimasi selalu berubah, dari tanggal 5 sampe 8, dan sekarang udah tanggal 8, masih belum berjalan juga, mentang mentang, pake gratis ongkir, pengiriman nya SE enak jidat, kecewa gua belanja di toko orange, mending di toko biru, pengiriman cepat, 2 hari udah sampai",1
"Untuk aplikasinya bagus sekali, tetapi min saya punya keluhan nih kenapa yah sesudah di update malah jadi suka susah banget dibuka padahal data kuota masih banyak jaringan oke tapi aplikasi Shopee gabisa dibuka buat check shopee video pun susah banget lama loading nya mohon segera diperbaiki min tolong dengan sangat.",1
"Mohon maaf ini shopee kenapa ya? Belanja sampai kejadian paket hilang di ekspedisi, status sedang di antar ke tempat tujuan tapi dari pihak kurir batal pengiriman sampe 3 kali, nunggu paketan datang hampir 2 minggu. Kecewa sebelumnya bagus banget",1
"bagus, cuman sekarang malah ngga banget apk nya, sering lag, lemot padahal sinyal ok, mau co ga bisa pencet, kadang tombol tombol nya suka lag, mau co atau pilih varian barang kadang ga bisa, tolong diperbaiki kalau bisa kaya yang dulu, pdhl yg dulu bagus setelah beberapa update malah jadi ngga banget banyak keluhan.",3
"Diskon nya fake, contoh di live harga asli 80 rb terus di coret diskon gt jadi 68 rb tapi pas checkout kok total produknya 80 rb(hanya produk tidak ongkir dll) padahal di live nya di coret jadi 68 rb dan juga saya pernah beli voucher gratis ongkir tapi di gambar nya dan judul nya keliatan no minimal tapi pas beli ternyata minimal 50 rb, coman dikasih tau di deskripsi saja, saya tau ini trik marketing tapi yang diskon seperti menipu customer sih",1
"Pesanan saya awalnya punya estimasi di terima tgl 12-15 mei, eh sampai tgl 15 malam belum juga nyampe. Pas di lihat kembali di status pengiriman bisa² shopee merubah sepihak estimasinya menjadi tgl 12-17mei. Keterlambatan dari pengiriman malah menambah estimasi waktu pengiriman secara sepihak.. konyol sangat di sayangkan..",1
"WOY SHOPEEFOOD!!! Sampe kapan kalian akan mempertahankan sistem double orderan?!?!!!! Saya customer pertama, harus nunggu 45 menit sejak orderan saya diambil, hanya karena driver dapet orderan customer kedua. Saya bukan masalah uang, tapi WAKTU. dan makanan itu untuk tamu saya. JUJUR SAYA MALU! SAYA KECEWA! bukan 1 2 kali saya slalu double orderan. Ini sebabnya sy jg sering ngasi rating dibawah 4 ke driver karna tidak jujur dan slowrespon. Tolong tim shopeefood perhatikan lagi! Saya rugi waktu!",1
"Kurir Shoope banyak Yg belagu , Kasar2 Mending ga usah jadi kurir klo bnyk ngeluh. Terutama yg kurirnya ga sesuai sama yg ada di aplikasi. Orang,plat nomor motor, no hp banyak yg beda2 ga sesuai sama di aplikasi .. Masa dibiarkan terus yg kayak gini ,,, Tindak tegas lah ... Saya sangat suka sama aplikasi shoope nya tapi ya gtu lah kurirnya ,,",1
"Pas awal² emang normal² harganya ngk beda jauh total harga barang Ama yg dicekout, tapi kok lama kelamaan tambah mahal ya, padahal total barang cuman 36ribu pas dicekout malah jadi 78ribu mahal banget ,padahal lokasinya juga satu provinsi 😓😓😓.",1
"Aplikasi shopee kenapa skrg malah ga enak, suka keluar sendiri, buat belanja gabisa terus setiap mau transfer bank atau beli pulsa memuat fitur terus!! Terus gimana saldo saya di shopeepay!! Padahal wifi lancar"" aja ga lemottt!!",1
"Gak jelas. Lagi chat admin penjual malah diblokir dan dikira spam. Nanti nulis kata2 WhatsApp gabisa terkirim, melanggar peraturan, tapi chat nya sangat dibatasi. Makin lama filter kata2nya makin gajelas. Tolong segera diinfokan tim IT nya dan segera ditindaklanjuti. +Kebanyakan fitur gapenting. Aplikasi palugada :) so-so dengan GoTo, tapi goto lebih simple UI nya",1
Beberapa hari terakhir ini sy berkali-kali beli di Shopee .. Alhamdulillah semua barang sesuai dengan deskripsi.. sempat sekali barang sy kembali ke penjual karna masih pemula pas beli online berikutnya lewat aplikasi ini sy mulai paham tinggal klik prosedur pengiriman dan ikuti alur perjalanan barang kita akan dituntun sampai barang ditangan kita,5
"Semenjak pake spx paket d shoppe ga nyampe nyampe, banyak di kembalikan k penjual, udah gitu malah akun kita nya yang kena banned ga bisa cod karena dikira mempermainkan paket ga di terima padahal spx nya yang bermasalah. Malah buang buang waktu nunggu paket yang ngga dateng dateng. Kalo kita komplem pelayanan nya lambat kadang ngga ngrespon sama skali.",1
"Sekarang tukang paket banyak yang ngeri"", soalnya harga paket suka dinaikin.. ya, meski sedikit cuman kalau paketnya banyak kan rugi juga., masalahnya kalau duitnya pas kan gimana coba, padahal udah hitung bener ehh malah di naikin harganya mau ngeluhpun gabisa_-",1
"Baru beberapa hari daftar akun sudah isi shopepay, sudah pernah transaksi & masih ada sisa saldo juga, lgi cari2 barang eh tiba2 ada notifikasi akun di batasi, tlpn cs suruh nunggu 3 hari info nya ada aktifitas mencurigakan..aneh..",1
"Paket belum di terima udh dikonfirmasi sama spx pake foto random, harusnya paket telat diterima dan dapat subsidi 10 ribu :D Dan Fitur filter harga terendahnya ngaco, harga gak berurutan dengan semestinya + nyampur sama produk yg gak sesuai pencarian",2
"Parah banget, makin update malah makin error shoppee nya. Ketika mau beli pulsa, tiba"" saldo shoppee paynya tidak bisa di cek. Cache udah dihapus, bahkan sampai 3 kali uninstall shoppee. Apk lain ga ada trouble dan penyimpanan ngga terlalu penuh. Tolong diperbaiki lagi shoppee, sungguh mengecewakan sekali",1
"Saya terinfo dari wa bahwa akun saya ada yg menggunakan karna sistem membaca ada kecurigaan maka di blokir sementara. Saya coba hub CS by telepon karna saya mau login gak bisa, saya coba menggunakan shoppe teman saya utk tlp menggunakan aplikasi shoppe namun di klik utk call berkali² ttp tdk bisa. Makanya saya tlp kembali ke call center. Eh baru kali ini ada CS yg ngomong nya betapa TIDAK SOPAN. Sebagai CS harus punya etika saat ada komplain customer. Dan sampai saat ini hub call center tdk bisa",1
"Sistem filternya tidak jelas, sudah di filter dengan baik dan benar tapi results produk yang ditampilkan tidak sesuai. Contoh saya mencari smartphone dari merek A tipe 1 di filter untuk area jabodetabek, jenis toko start + dan mall, rating bintang 4 keatas dan di urut berdasarkan harga termurah hasil yang di tampilkan justru smartphone merek A tipe 2 atau Merek B Tipe 1. Tolong perbaiki sistem filter tersebut agar dapat berbelanja dengan nyaman.",1
Apa shopeefood ada biaya lain-lain dan biaya layanan. Sama aja dari awal mesen sampe skrg promonya sama aja gk ada peningkatan percuma dimasukkan kek gitu. Ada saran sii klo bisa nih yg sering pesen makanan ada diskon tertentu yang orang pertama terjun di shopeefood gk dpt previllange,1
Entah kenapa tiap kali aku buka opsi dikirim selalu terkendala loding mulu. Padahal jaringan sangat stabil dan bagus udah coba pakai data sendiri tetap tidak hisa terbuka coba pakai wifi sama saja. Kadang memerlukan waktu yang lama kadang juga tidak bisa sama sekali. Satu pagi aplikasi saya sudah yang terbaru !!,1
"Kenapa masa estimasi penerimaan bisa di perpanjang terus, jadi tidak bisa di batalkan pesanannya, udah 9 hari barang belum juga sampai, harusnya tidak di perpanjang trs agar yg terlambat pengiriman bisa di batalkan",3
"Hp flagship, tapi kenapa setiap buka app ini kok lag banget yahh.. terlalu berat, banyak pop up2 yg ga penting. Buka app langsung masuk live apa tau.. saran aja buat developer, buat app ini biar lebih optimal.",2
. Buffering yang tidak masuk akal . Lag padahal jaringan baik-baik saja . Koin tidak dapat kembali meski barang dicancel . Voucher tidak dapat dikembalikan meski barang dicancel . Barang dikeranjang bertambah tiba-tiba dari 1pcs jadi 2pcs (padahal tidak saya update atau tambahkan) . Barang dikeranjang yang sudah di select tiba-tiba juga tidak ter-select kalau direload APP INI ANEHHHH!!!,1
"Responsif dari spinjaman sangat luar biasa, kurang 30 menit dana langsung cair dan berizin ojk. Bunga standar. Sangat membantu terutama untuk berobat mendadak. Alasan ini bagi saya betah dengan Shopee. Promo dan diskon banyak dan cukup menarik. Saran untuk tampilan antarmuka dibuat lebih simpel dan packaging barang dari pihak shopee tolong di tingkatkan lagi.",4
"bagus semuanya bagus kok,, tapi kenapa ya Shopee express kadang suka menyulitkan para kurir paket yang bekerja untuk sekarang kenapa ya di label paket yg ada sudah tidak diperlihatkan lagi uang COD nya, itu mungkin cukup menyulitkan untuk sebagai orang dan juga mungkin memperlambat pekerjaan kurir paket tersebut.., mohon diperbaiki lagi ya 😊 jujur saya kasihan sama para kurir paket yang bekerja dari pagi sampe malam..",3
dari dulu shopee emang berat bgt. lemot bgt. mau udah diclear chace atau di open di hp barupun gitu. padahal sinyalnya baguss lancar buat streaming. gabisa lebih ringan lagi kah? :),2
"Knp sistem COD ngga ada konfrimasnya sih kayak spay, saya gatau / kepencet pesan casing 2 yang ngga ada gratis ongkirnya dan biaya ongkir nya sangat mahal dari pada casingnya!!!! Saya kaget tiba"" Kok ada paket yang sedang dikirim saya merasa saya tidak memesan apa"" Tapi ternyata casing 2!! Mana totalnya jadi 70k, ngotak dong, saat itu saya memang mau pesan tapi gajadi alhasil saya tidak chek out, tapi apk sprti lemot saya sabar menunggu trs kemungkinan saya kepencet pesan",1
Masukan buat shopee aturan bebas pengembalian diperbaiki lagi. Waktu pembeli kirim balik barang yg dibalikin jangan 5 hari. Tp sehari samakan dengan waktu penjual dapat pesanan. Saya PENJUAL ada transaksi setelah barang sampai pembeli mengajukan pengembalian berubah pikiran. Barang dikembalilan dihari ke 5 dan kaget nya outsole sepatu terlihat sudah bekas dipakai dan box original nya rusak berat. Kami ajukan banding ke shopee TIDAK DITERIMA. PENJUAL tidak bisa jual lagi SANGAT DIRUGIKAN.,1
"aplikasi sampah!!! orang belanja udah bayar malah dicancel otomatis. bukan hanya sekali dua kali tapi sering banget kemudian akun juga dibatasi harus aju banding dulu buat ngambil dana yang dikembalikan, ribetttt. sangat tidak rekomend",1
"Kenapa saya beli paket data, bayar pake shopeepay... Trus saldo Shopee pay nya berkurang tapi paket datanya belum masuk Padahal nomernya sudah dicek beberapa kali tidak ada kesalahan... Mohon bantuannya🙏",5
"Aplikasi terlalu berat, dan cukup membingungkan buat saya yang baru memakainya, saya pencet salah satu produk, yang muncul malah video reel gitu,mana frame drop dan gak bisa keluar,harus login apk dulu biar keluar dari reel nya",1
